STATION,INITIAL,FINAL,TOT.OBS,OBSERVER
518,1981,2009,3064,"CAPRICORNO, CAMPINAS, BRAZIL"
519,1987,1987,30,"QUINTANA CARLOS, VENEZUELA"
520,1981,1982,138,"CRIMMITSCHAU, GERMANY"
521,2006,2010,390,"HANS COECKELBERGHS, BELGIUM"
522,1992,2010,4059,"FERNANDEZ RUIS, SANTANDER, SPAIN"
523,1985,2010,4528,"CULGOORA NARRABRI, AUSTRALIA"
524,1983,2010,5485,"DE BACKER BOOM, BELGIUM"
525,1991,1993,134,"CAMINA DANIEL, ARGENTINA"
526,2007,2010,394,"DONCEL FREDDY, PARAGUAY"
527,1986,2010,568,"DEMAN, BELGIUM"
528,1991,1991,16,"RODRIGUEZ GUSTAVO, ARGENTINA"
529,1981,1985,1289,"DESRUES, FRANCE"
530,1985,2010,6545,"DUBOIS LANGEMARK, BELGIUM"
531,2010,2010,19,"DIRK VAN HESSCHE, BELGIUM"
532,2006,2010,130,"KAREL DEWAELE, BELGIUM"
533,1991,2000,776,"VASQUEZ CARLOS, ARGENTINA"
534,1949,2010,16266,"EBRO, ROQUETES, SPAIN"
535,1985,1986,50,"FERNANDES ENRIQUE, SPAIN"
536,1989,1999,3159,"ELEIZALDE, CARACAS, VENEZUELA"
537,1993,2002,168,"E.O.S., SONARA, MEXICO"
538,2003,2007,355,"EUROPLANETARIUM, BELGIUM"
539,1985,1990,1346,"AGRUP. ASTRO. MADRID, SPAIN"
540,1988,2010,1674,"EVANS INVERCAGILL, NEW-ZEALAND"
541,1990,1990,23,"ASTER, SPAIN"
542,2007,2010,5,"RODRIGO F. DIAZ, ARGENTINA"
543,1981,2004,1634,"FERREIRA, SAO FRANCISCO, BRAZIL"
544,1997,2001,141,"FEDERICO, SAN HERMENEGILDO, SPAIN"
545,1985,1985,35,"FERNANDES JOSE, SPAIN"
546,1997,1998,127,"LECOYER FRANCIS, BELGIUM"
547,1990,1994,605,"MARTINEZ FLORES, SPAIN"
548,1997,2010,1657,"OBSERVATORY FRANTISKA, CZECH REPUBLIC"
549,1997,2010,1551,"STEFANIKS, OBS. PRAGUE, CZECH REPUBLIC"
550,1968,2010,10558,"FUJIMORI NAGANO, JAPAN"
551,1998,1998,8,"FELICIANO VILLARES, SPAIN"
552,2000,2010,3105,"GEMA ARAUJO, SPAIN"
553,2006,2010,1497,"ANDRE GABRIEL, BELGIUM"
554,1981,1991,572,"GROGNARD, BELGIUM"
555,1981,2007,5031,"GERARD DINANT, BELGIUM"
556,2007,2008,209,"GOBBET FRANCK, FRANCE"
557,1981,1993,2543,"GILLISSEN, BELGIUM"
558,1995,2010,4534,"GERMAN MORALES, COCHABAMBA, BOLIVIA"
559,1991,1994,249,"A.S.O., BOLIVIA"
560,1982,1997,874,"GOLLKOWSKY RUDOLSTADT, GERMANY"
561,1989,1992,401,"A.G.P. ASTRONOMIA, PALENCIA, SPAIN"
562,2001,2010,2259,"SCHOTT LUTZ, GERD, GERMANY"
563,1985,2005,2914,"GUILLERY PULLIGNY, FRANCE"
564,2002,2005,526,"GYSEL LUC, BELGIUM"
565,1983,2006,1093,"HUANCAYO, PERU"
566,1989,1999,2427,"HARDIE JORDANSTOWN, N.IRELAND"
567,1995,1998,434,"HANCHARIA, ITALY"
568,1967,2010,9743,"HELWAN, EGYPT"
569,1989,1991,169,"STIETZEL, GERMANY"
570,2008,2010,274,"HALL KEN, U.K."
571,1995,2005,942,"MAHMOUD S, MOSQUE SOCIETY, EGYPT"
572,1983,2010,7498,"HOLLOMAN, U.S.A."
573,1994,2010,3749,"HVEZDAREN PRESOV, SLOVAKIA"
574,NaN,NaN,0,
575,1991,1992,61,"REBACK HERMAN, ARGENTINA"
576,2003,2007,779,"HAZEL COLLETT, UNITED-KINGDOM"
577,1969,2010,7859,"HURBANOVO, SLOVAKIA"
578,1993,2010,4290,"HVEZDAREN KYSUCKE, SLOVAKIA"
579,NaN,NaN,0,
580,2010,2010,8,"ICA UNIVERSITY, PERU"
581,1989,1999,655,"ISKUM, BUDAPEST, HUNGARY"
582,1994,2005,1628,"ISEO, ITALY"
583,1991,2003,698,"JAMBOL, BULGARIA"
584,1992,2010,3363,"ASTRO. DE REUX CINEY, BELGIUM"
585,2006,2010,799,"JEF CLAES, BELGIUM"
586,2002,2005,774,"DRAGESCO JEAN, FRANCE"
587,1987,1993,628,"JAHN JOST, WEST-GERMANY"
588,1998,2001,240,"OBSERVATORY HASKOVO, BULGARIA"
589,1996,2010,1166,"JORGE LUIS GARCIA, SPAIN"
590,1996,1997,74,"JANSSENS, BELGIUM"
591,1991,2009,3267,"JOHNSTON GWYNEDD, ENGLAND"
592,2001,2010,2582,"HAVANA SOLAR STATION, CUBA"
